34-0.3_cutmix	accuracy : 0.5069254636764526	precision : 0.5060986280441284	recall : 0.574717104434967	f1_score : 0.5382296442985535	tp : 2946	fp : 2875	fn : 2180	tn : 2251
34-0.5_cutmix	accuracy : 0.6004682183265686	precision : 0.5863804221153259	recall : 0.6820132732391357	f1_score : 0.630591630935669	tp : 3496	fp : 2466	fn : 1630	tn : 2660
34-0.7_cutmix	accuracy : 0.7872610092163086	precision : 0.812566339969635	recall : 0.7467811107635498	f1_score : 0.7782860398292542	tp : 3828	fp : 883	fn : 1298	tn : 4243
34-0.9_cutmix	accuracy : 0.8529067635536194	precision : 0.9407894611358643	recall : 0.7532188892364502	f1_score : 0.8366197347640991	tp : 3861	fp : 243	fn : 1265	tn : 4883
50-0.3_cutmix	accuracy : 0.2895044982433319	precision : 0.3266388177871704	recall : 0.39660555124282837	f1_score : 0.3582378923892975	tp : 2033	fp : 4191	fn : 3093	tn : 935
50-0.5_cutmix	accuracy : 0.5413577556610107	precision : 0.5345839858055115	recall : 0.639289915561676	f1_score : 0.5822672247886658	tp : 3277	fp : 2853	fn : 1849	tn : 2273
50-0.7_cutmix	accuracy : 0.8069645166397095	precision : 0.861474871635437	recall : 0.7315645813941956	f1_score : 0.7912226915359497	tp : 3750	fp : 603	fn : 1376	tn : 4523
50-0.9_cutmix	accuracy : 0.8657822608947754	precision : 0.989811897277832	recall : 0.7391728162765503	f1_score : 0.8463256359100342	tp : 3789	fp : 39	fn : 1337	tn : 5087
34-0.3_mixup	accuracy : 0.13353492319583893	precision : 0.09225092083215714	recall : 0.08291064947843552	f1_score : 0.08733175694942474	tp : 425	fp : 4182	fn : 4701	tn : 944
34-0.5_mixup	accuracy : 0.3141826093196869	precision : 0.32344764471054077	recall : 0.3404213786125183	f1_score : 0.33171752095222473	tp : 1745	fp : 3650	fn : 3381	tn : 1476
34-0.7_mixup	accuracy : 0.6601638793945312	precision : 0.6709704399108887	recall : 0.6285603046417236	f1_score : 0.6490733027458191	tp : 3222	fp : 1580	fn : 1904	tn : 3546
34-0.9_mixup	accuracy : 0.8544673919677734	precision : 0.9567621946334839	recall : 0.7424892783164978	f1_score : 0.8361160159111023	tp : 3806	fp : 172	fn : 1320	tn : 4954
50-0.3_mixup	accuracy : 0.20288723707199097	precision : 0.07458100467920303	recall : 0.05208739638328552	f1_score : 0.06133700907230377	tp : 267	fp : 3313	fn : 4859	tn : 1813
50-0.5_mixup	accuracy : 0.26307061314582825	precision : 0.2435058057308197	recall : 0.2249317169189453	f1_score : 0.23385052382946014	tp : 1153	fp : 3582	fn : 3973	tn : 1544
50-0.7_mixup	accuracy : 0.5969566702842712	precision : 0.5947749614715576	recall : 0.608466625213623	f1_score : 0.6015428900718689	tp : 3119	fp : 2125	fn : 2007	tn : 3001
50-0.9_mixup	accuracy : 0.845591127872467	precision : 0.9196872711181641	recall : 0.7573156356811523	f1_score : 0.8306408524513245	tp : 3882	fp : 339	fn : 1244	tn : 4787
34_basic	accuracy : 0.3435427248477936	precision : 0.3606671392917633	recall : 0.4049941599369049	f1_score : 0.3815475106239319	tp : 2076	fp : 3680	fn : 3050	tn : 1446
50_basic	accuracy : 0.190499410033226	precision : 0.20273561775684357	recall : 0.21108075976371765	f1_score : 0.20682404935359955	tp : 1082	fp : 4255	fn : 4044	tn : 871
